H,Date,HE,MWh
D,4/19/2011,17,14950.76
D,4/19/2011,18,15207.88
D,4/19/2011,19,15315.47
D,4/19/2011,20,15606.95
D,4/19/2011,21,15453.74
D,4/19/2011,22,14515.67
D,4/19/2011,23,13179.32
D,4/19/2011,24,11879.6
D,4/20/2011,1,10972.75
D,4/20/2011,2,10451.3
D,4/20/2011,3,10188.81
D,4/20/2011,4,10136.61
D,4/20/2011,5,10394.85
D,4/20/2011,6,11306.43
D,4/20/2011,7,12795.62
D,4/20/2011,8,14223.14
D,4/20/2011,9,14997.85
D,4/20/2011,10,15407.9
D,4/20/2011,11,15691.17
D,4/20/2011,12,15749.73
D,4/20/2011,13,15589.88
D,4/20/2011,14,15500.99
D,4/20/2011,15,15300.57
D,4/20/2011,16,15063.6
D,4/20/2011,17,15079.24
D,4/20/2011,18,15118.98
D,4/20/2011,19,15068.46
D,4/20/2011,20,15289.08
D,4/20/2011,21,15456.78
D,4/20/2011,22,14595.7
D,4/20/2011,23,13270.36
D,4/20/2011,24,11941.98
D,4/21/2011,1,11023.74
D,4/21/2011,2,10518.32
D,4/21/2011,3,10514.36
D,4/21/2011,4,10443.24
D,4/21/2011,5,10699.02
D,4/21/2011,6,11457.12
D,4/21/2011,7,12652.6
D,4/21/2011,8,13876.9
D,4/21/2011,9,14478.41
D,4/21/2011,10,14814.55
D,4/21/2011,11,14987.14
D,4/21/2011,12,15007.32
D,4/21/2011,13,14838.18
D,4/21/2011,14,14711.52
D,4/21/2011,15,14490.35
D,4/21/2011,16,14274.71
D,4/21/2011,17,14214.38
D,4/21/2011,18,14306.85
D,4/21/2011,19,14347.5
D,4/21/2011,20,14748.79
D,4/21/2011,21,15250.21
D,4/21/2011,22,14550.71
D,4/21/2011,23,13297.51
D,4/21/2011,24,12021.23
D,4/22/2011,1,11145.16
D,4/22/2011,2,10676.15
D,4/22/2011,3,10436.35
D,4/22/2011,4,10397.2
D,4/22/2011,5,10640.6
D,4/22/2011,6,11426.82
D,4/22/2011,7,12534.04
D,4/22/2011,8,13626.28
D,4/22/2011,9,14183.25
D,4/22/2011,10,14587.64
D,4/22/2011,11,14762.3
D,4/22/2011,12,14610.77
D,4/22/2011,13,14352.59
D,4/22/2011,14,14104.61
D,4/22/2011,15,13831.88
D,4/22/2011,16,13536.78
D,4/22/2011,17,13452.12
D,4/22/2011,18,13537.91
D,4/22/2011,19,13620.18
D,4/22/2011,20,14001.56
D,4/22/2011,21,14365.97
D,4/22/2011,22,13789.34
D,4/22/2011,23,12775.59
D,4/22/2011,24,11632.11
D,4/23/2011,1,11051.6
D,4/23/2011,2,10752.11
D,4/23/2011,3,10464.8
D,4/23/2011,4,10348.44
D,4/23/2011,5,10407.26
D,4/23/2011,6,10748.78
D,4/23/2011,7,11131.84
D,4/23/2011,8,11967.08
D,4/23/2011,9,12994.76
D,4/23/2011,10,13993.84
D,4/23/2011,11,14609.77
D,4/23/2011,12,14882.96
D,4/23/2011,13,14820.6
D,4/23/2011,14,14563.89
D,4/23/2011,15,14254.74
D,4/23/2011,16,14030.43
D,4/23/2011,17,14061.05
D,4/23/2011,18,14184.34
D,4/23/2011,19,14186.8
D,4/23/2011,20,14325.74
D,4/23/2011,21,14341.79
D,4/23/2011,22,13724.92
D,4/23/2011,23,12854.09
D,4/23/2011,24,11902.7
D,4/24/2011,1,11019.39
D,4/24/2011,2,10790.2
D,4/24/2011,3,10671.07
D,4/24/2011,4,10465.56
D,4/24/2011,5,10442.97
D,4/24/2011,6,10548.24
D,4/24/2011,7,10506.27
D,4/24/2011,8,11045.19
D,4/24/2011,9,11835.78
D,4/24/2011,10,12427.94
D,4/24/2011,11,12779.32
D,4/24/2011,12,12875.88
D,4/24/2011,13,12745.84
D,4/24/2011,14,12330.72
D,4/24/2011,15,11936.39
D,4/24/2011,16,11714.41
D,4/24/2011,17,11738.76
D,4/24/2011,18,11916
D,4/24/2011,19,12226.35
D,4/24/2011,20,12964.08
D,4/24/2011,21,13437.26
D,4/24/2011,22,12768.96
D,4/24/2011,23,11621.82
D,4/24/2011,24,10609.03
D,4/25/2011,1,10265.66
D,4/25/2011,2,9955.06
D,4/25/2011,3,9930.19
D,4/25/2011,4,9833.87
D,4/25/2011,5,9944.03
D,4/25/2011,6,10598.87
D,4/25/2011,7,12087.63
D,4/25/2011,8,13590.84
D,4/25/2011,9,14267.18
D,4/25/2011,10,14649.4
D,4/25/2011,11,14927.58
D,4/25/2011,12,15003.54
D,4/25/2011,13,14909.31
D,4/25/2011,14,14903.15
D,4/25/2011,15,14730.79
D,4/25/2011,16,14594.4
D,4/25/2011,17,14585.41
D,4/25/2011,18,14668.23
D,4/25/2011,19,14641.06
D,4/25/2011,20,14929.21
D,4/25/2011,21,15207.63
D,4/25/2011,22,14223.75
D,4/25/2011,23,12759.05
D,4/25/2011,24,11402.57
D,4/26/2011,1,10935.77
D,4/26/2011,2,10503.52
D,4/26/2011,3,10428.75
D,4/26/2011,4,10202.67
D,4/26/2011,5,10316.53
D,4/26/2011,6,11187.82
D,4/26/2011,7,12724.43
D,4/26/2011,8,13962.25
D,4/26/2011,9,14477.44
D,4/26/2011,10,14719.53
D,4/26/2011,11,15001.55
D,4/26/2011,12,15110.28
D,4/26/2011,13,15110.71
D,4/26/2011,14,15192.72
D,4/26/2011,15,15095.22
D,4/26/2011,16,14953.97
D,4/26/2011,17,14912.65
D,4/26/2011,18,14890.32
D,4/26/2011,19,14806.04
D,4/26/2011,20,15141.06
D,4/26/2011,21,15439.18
D,4/26/2011,22,14488.05
D,4/26/2011,23,12979.87
D,4/26/2011,24,11539.2
D,4/27/2011,1,10819.65
D,4/27/2011,2,10535.43
D,4/27/2011,3,10564.61
D,4/27/2011,4,10727.49
D,4/27/2011,5,10728.46
D,4/27/2011,6,11193.83
D,4/27/2011,7,12734.89
D,4/27/2011,8,14100.49
D,4/27/2011,9,14643.28
D,4/27/2011,10,14961.04
D,4/27/2011,11,15276.33
D,4/27/2011,12,15412.33
D,4/27/2011,13,15467.03
D,4/27/2011,14,15564.52
D,4/27/2011,15,15501.54
D,4/27/2011,16,15385.2
D,4/27/2011,17,15303.48
D,4/27/2011,18,15235.24
D,4/27/2011,19,15136.27
D,4/27/2011,20,15493.33
D,4/27/2011,21,15678.92
D,4/27/2011,22,14687.33
D,4/27/2011,23,13228.8
D,4/27/2011,24,11893.51
D,4/28/2011,1,11374.13
D,4/28/2011,2,10855.22
D,4/28/2011,3,10908.61
D,4/28/2011,4,11003.15
D,4/28/2011,5,11187.28
D,4/28/2011,6,11360.19
D,4/28/2011,7,12852.61
D,4/28/2011,8,14390.37
D,4/28/2011,9,15024.14
D,4/28/2011,10,15415.28
D,4/28/2011,11,15704.88
D,4/28/2011,12,15810
D,4/28/2011,13,15758.64
D,4/28/2011,14,15736.73
D,4/28/2011,15,15611.4
D,4/28/2011,16,15509.24
D,4/28/2011,17,15505.07
D,4/28/2011,18,15487.79
D,4/28/2011,19,15290.68
D,4/28/2011,20,15522.49
