,0
887,0.19273992
888,0.15630376
889,0.14260177
890,0.14144231
891,0.13824268
892,0.14168519
893,0.14788209
894,0.16197444
895,0.19024165
896,0.22948164
897,0.26255757
898,0.28325966
899,0.2879052
900,0.28113803
901,0.2670945
902,0.25421977
903,0.2502483
904,0.2540443
905,0.26534104
906,0.2735402
907,0.32330528
908,0.3160933
909,0.2864184
910,0.22959629
911,0.17821735
912,0.14718851
913,0.13768536
914,0.14239591
915,0.14809488
916,0.15744974
917,0.18409212
918,0.26102132
919,0.34046608
920,0.37988698
921,0.39586353
922,0.40433225
923,0.40514755
924,0.40077573
925,0.3960042
926,0.37792554
927,0.36862555
928,0.36377066
929,0.3652183
930,0.36090592
931,0.3285732
932,0.38707358
933,0.35342932
934,0.27838242
935,0.20253038
936,0.16165625
937,0.14243248
938,0.14569174
939,0.1469232
940,0.15872525
941,0.19324215
942,0.25496015
943,0.330425
944,0.3661712
945,0.37327793
946,0.3760116
947,0.3872544
948,0.38675815
949,0.38688815
950,0.3795538
951,0.36760178
952,0.35922343
953,0.36015773
954,0.35800642
955,0.37833378
956,0.37585104
957,0.33677894
958,0.26567805
959,0.20216845
960,0.17170079
961,0.1654602
962,0.1695759
963,0.1777317
964,0.18974586
965,0.20602128
966,0.2646426
967,0.33899868
968,0.37405193
969,0.3834354
970,0.39199525
971,0.39202884
972,0.38133395
973,0.38849688
974,0.3888469
975,0.38079867
976,0.37641692
977,0.3705818
978,0.36492175
979,0.36306018
980,0.38251528
981,0.34833312
982,0.2768573
983,0.20406869
984,0.16141221
985,0.15094651
986,0.16113362
987,0.16728775
988,0.17078266
989,0.18615763
990,0.25536364
991,0.33118075
992,0.36228642
993,0.3752831
994,0.38427275
995,0.38535398
996,0.37908608
997,0.3770483
998,0.37230214
999,0.3687413
1000,0.36497948
1001,0.36103517
1002,0.34816554
1003,0.335906
1004,0.36441582
1005,0.3381625
1006,0.26966503
1007,0.20390642
1008,0.16208722
1009,0.16533037
1010,0.16629942
1011,0.17210728
1012,0.180276
1013,0.19321129
1014,0.24998659
1015,0.3308322
1016,0.3730737
1017,0.39121902
1018,0.39585266
1019,0.39809415
1020,0.39377326
1021,0.38569626
1022,0.37702963
1023,0.36227828
1024,0.34904855
1025,0.33331832
1026,0.31461936
1027,0.31049648
1028,0.32619816
1029,0.30886102
1030,0.25386652
1031,0.20194459
1032,0.17980549
1033,0.1614607
1034,0.1424523
1035,0.14600131
1036,0.14516568
1037,0.15186128
1038,0.16566873
1039,0.20791483
1040,0.26070112
1041,0.30361652
1042,0.32263565
1043,0.32406905
1044,0.3128143
1045,0.29850414
1046,0.2888569
1047,0.28235528
1048,0.28216958
1049,0.2920916
1050,0.3024806
1051,0.296376
1052,0.31996867
1053,0.29575974
1054,0.24885195
1055,0.20859712
1056,0.17188573
1057,0.157157
1058,0.15296277
1059,0.15088253
1060,0.15503952
1061,0.16110155
1062,0.16637401
1063,0.19518736
1064,0.22856264
1065,0.2737434
1066,0.30555677
1067,0.32747543
1068,0.3342884
1069,0.32480323
1070,0.31768963
1071,0.3149948
1072,0.3218513
1073,0.33683386
1074,0.34169433
1075,0.3402958
1076,0.34690824
1077,0.31123915
1078,0.2523361
1079,0.2097121
1080,0.18723646
1081,0.17129329
1082,0.16821171
1083,0.1734176
1084,0.18211962
1085,0.21606906
1086,0.272435
1087,0.3381089
1088,0.37340584
1089,0.3919807
1090,0.4027201
1091,0.40509343
1092,0.4012283
1093,0.39357013
1094,0.3819531
1095,0.37345278
1096,0.37591356
1097,0.38949072
1098,0.39244428
1099,0.38680482
1100,0.39019692
1101,0.3446975
1102,0.2778145
1103,0.20978768
1104,0.1834343
1105,0.1722937
1106,0.17104396
1107,0.1730465
1108,0.19318795
1109,0.21669464
1110,0.2700946
1111,0.34358633
1112,0.3781994
1113,0.39323133
1114,0.39411613
1115,0.40147695
1116,0.39536035
1117,0.39042655
1118,0.37953243
1119,0.37478518
1120,0.37755892
1121,0.38699588
1122,0.38977963
1123,0.3885155
1124,0.38982716
1125,0.35029602
1126,0.29039752
1127,0.22554532
1128,0.19942792
1129,0.18243867
1130,0.17431435
1131,0.17358306
1132,0.18386856
1133,0.21766478
1134,0.26852068
1135,0.3430614
1136,0.37736437
1137,0.39129746
